Sl. No.,State/UT,Valid Routes Available,Commenced,Yet to Commence
1,Andaman and Nicobar Islands,12,0,12
2,Andhra Pradesh,19,18,1
3,Arunachal Pradesh,15,5,10
4,Assam,57,30,27
5,Bihar,8,6,2
6,Chandigarh,6,3,3
7,Chhattisgarh,13,9,4
8,Daman and Diu,11,3,8
9,Delhi,22,19,3
10,Goa,11,6,5
11,Gujarat,56,39,17
12,Haryana,4,3,1
13,Himachal Pradesh,45,22,23
14,Jammu and Kashmir,4,2,2
15,Jharkhand,12,5,7
16,Karnataka,71,64,7
17,Kerala,15,12,3
18,Ladakh,0,0,0
19,Lakshdweep,19,1,18
20,Madhya Pradesh,24,18,6
21,Maharashtra,73,58,15
22,Manipur,23,12,11
23,Meghalaya,11,8,3
24,Mizoram,3,2,1
25,Nagaland,17,4,13
26,Odisha,20,18,2
27,Puducherry,1,1,0
28,Punjab,20,16,4
29,Rajasthan,37,30,7
30,Sikkim,6,3,3
31,Tamil Nadu,24,13,11
32,Telangana,29,27,2
33,Tripura,8,3,5
34,Uttar Pradesh,86,55,31
35,Uttarakhand,62,46,16
36,West Bengal,26,18,8
Total,Total,870,579,291
